Age_Bracket,City,Monthly_Income,Dietary_Style,Weekly_Workouts,Orders_Per_Week,Avg_Spend_Order,Primary_Occasions,Interest_Calorie_Control,Alcohol_Consumption_Freq,Drink_Preference,Max_Set_Calories,Favourite_Flavours,Spirits_Enjoyed,Openness_Zero_Proof,Fair_Price_Bundle,Importance_Local_Ingredients,Likely_Try_30_Days,Likely_Reorder_Score,Preferred_Loyalty_Benefit
25-34,Pune,38416.0,Omni,0,0,3778.0,"Lunch, Post-work drinks, Weekend treat",5,1× week,Equal,400,Spicy,"Rum, Whisky",Never,1 000-1 200,3,Yes,3,Points
25-34,Hyderabad,21260.0,Omni,2,3,976.0,Weekend treat,3,1-2× month,Mocktails,400,Smoky,"Rum, Whisky",Maybe,800-1 000,2,No,1,Free delivery
35-44,Bengaluru,26704.0,Omni,6,1,1162.0,"Dinner, Lunch",5,1-2× month,Mocktails,500,"Fruity, Spicy","Rum, Tequila",Yes definitely,>1 200,5,No,2,Free delivery
18-24,Mumbai,20000.0,Omni,5,1,842.0,Lunch,4,1× week,Cocktails,600,"Earthy, Herbal","Rum, Vodka",Yes definitely,>1 200,5,Yes,3,Nutrition consult
35-44,Mumbai,20000.0,Vegan,3,1,969.0,Post-work drinks,2,1-2× month,Cocktails,600,"Earthy, Fruity",Whisky,Maybe,>1 200,4,Yes,5,Nutrition consult
25-34,Bengaluru,21606.0,Omni,0,2,1058.0,"Lunch, Post-work drinks",4,1-2× month,Equal,500,Herbal,Rum,Maybe,1 000-1 200,3,Yes,4,Cocktail upgrade
35-44,Kolkata,20103.0,Keto,2,3,1055.0,"Lunch, Post-work drinks",5,1-2× month,Cocktails,500,Earthy,Gin,Maybe,1 000-1 200,5,Yes,4,Free delivery
25-34,Pune,30279.0,Vegetarian,1,5,1209.0,Dinner,5,1-2× month,Mocktails,500,"Herbal, Spicy",Tequila,Maybe,<800,4,Maybe,2,Free delivery
18-24,Bengaluru,50441.0,Omni,4,1,2000.0,Weekend treat,5,1× week,Mocktails,400,Smoky,"Rum, Vodka",Unlikely,800-1 000,3,Yes,4,Points
25-34,Hyderabad,36134.0,Omni,6,0,1554.0,Dinner,5,Never,Mocktails,700,"Citrus, Smoky, Spicy",None,Yes definitely,>1 200,3,Maybe,3,Free delivery
18-24,Kolkata,31037.0,Omni,1,3,1520.0,Weekend treat,5,2-3× week,Equal,600,Spicy,"Rum, Whisky",Yes definitely,800-1 000,5,Maybe,2,Free delivery
18-24,Bengaluru,47913.0,Omni,3,1,2000.0,Post-work drinks,4,1× week,Mocktails,600,Fruity,Whisky,Unlikely,1 000-1 200,2,Yes,4,Points
45-54,Hyderabad,27096.0,Vegetarian,2,0,1429.0,"Post-work drinks, Weekend treat",5,1-2× month,Cocktails,600,Spicy,"Gin, Rum, Tequila",Yes definitely,>1 200,5,No,2,Points
55+,Pune,20976.0,Omni,5,1,1117.0,"Dinner, Weekend treat",4,1× week,Equal,600,"Citrus, Spicy",Whisky,Maybe,<800,4,No,2,Nutrition consult
35-44,Chennai,20000.0,Vegan,4,4,906.0,"Post-work drinks, Weekend treat",5,1-2× month,Mocktails,600,Spicy,Vodka,Maybe,1 000-1 200,5,No,1,Points
18-24,Bengaluru,20000.0,Vegetarian,0,0,1036.0,Post-work drinks,5,1-2× month,Cocktails,500,Smoky,Vodka,Unlikely,800-1 000,4,Yes,3,Points
35-44,Pune,20000.0,Vegetarian,1,1,1019.0,Post-work drinks,2,Never,Mocktails,700,Herbal,None,Yes definitely,1 000-1 200,5,Yes,3,Points
35-44,Hyderabad,33107.0,Vegetarian,1,1,1689.0,Lunch,4,1× week,Cocktails,400,"Citrus, Herbal",Gin,Yes definitely,<800,5,Maybe,2,Points
18-24,Bengaluru,66027.0,Vegetarian,0,1,2000.0,"Lunch, Post-work drinks, Weekend treat",5,1-2× month,Equal,600,"Citrus, Earthy, Fruity, Smoky",Rum,Yes definitely,<800,4,Yes,4,Points
35-44,Bengaluru,39252.0,Omni,7,3,1777.0,Lunch,4,Never,Mocktails,400,"Citrus, Fruity, Spicy",None,Yes definitely,<800,2,Maybe,3,Free delivery
35-44,Delhi,32740.0,Vegetarian,5,2,1440.0,Dinner,5,1-2× month,Cocktails,600,Herbal,Vodka,Unlikely,>1 200,4,Yes,5,Cocktail upgrade
25-34,Chennai,21497.0,Keto,2,3,1086.0,Weekend treat,4,2-3× week,Cocktails,400,"Fruity, Smoky, Spicy","Gin, Tequila",Never,<800,3,No,2,Points
25-34,Delhi,50867.0,Vegetarian,4,0,2000.0,Weekend treat,5,Never,Mocktails,500,Smoky,None,Yes definitely,800-1 000,5,Yes,3,Points
18-24,Mumbai,21198.0,Vegan,3,0,1068.0,Weekend treat,2,Daily,Cocktails,500,Spicy,Rum,Unlikely,>1 200,5,Maybe,2,Points
25-34,Pune,26623.0,Omni,2,0,1165.0,"Dinner, Lunch",2,Never,Mocktails,600,Citrus,None,Yes definitely,1 000-1 200,4,No,2,Free delivery
55+,Mumbai,27954.0,Other,0,2,1417.0,"Lunch, Post-work drinks, Weekend treat",5,1-2× month,Mocktails,600,"Earthy, Fruity, Spicy",Rum,Maybe,1 000-1 200,4,No,2,Cocktail upgrade
25-34,Hyderabad,20000.0,Omni,1,2,940.0,"Lunch, Post-work drinks, Weekend treat",2,Daily,Avoid all,600,Fruity,Rum,Maybe,800-1 000,5,No,2,Cocktail upgrade
35-44,Hyderabad,39543.0,Vegan,0,0,1768.0,Weekend treat,4,2-3× week,Avoid all,400,"Fruity, Smoky",Tequila,Maybe,800-1 000,5,No,1,Free delivery
18-24,Kolkata,26981.0,Vegetarian,6,3,1284.0,Weekend treat,4,1-2× month,Cocktails,700,Spicy,"Gin, Rum, Whisky",Maybe,800-1 000,5,Maybe,2,Points
35-44,Bengaluru,29540.0,Vegetarian,5,1,1497.0,Dinner,4,Never,Mocktails,600,Earthy,None,Yes definitely,1 000-1 200,5,Yes,3,Points
25-34,Bengaluru,23198.0,Omni,4,1,1200.0,"Dinner, Lunch, Post-work drinks",5,2-3× week,Equal,400,"Earthy, Fruity",Whisky,Never,1 000-1 200,3,Yes,5,Points
25-34,Mumbai,20000.0,Omni,5,2,1049.0,Weekend treat,5,Never,Mocktails,500,"Earthy, Fruity",None,Yes definitely,<800,3,Yes,3,Points
18-24,Delhi,79269.0,Omni,4,2,2000.0,Post-work drinks,3,2-3× week,Equal,400,"Herbal, Spicy","Rum, Tequila",Maybe,1 000-1 200,5,Yes,4,Points
25-34,Bengaluru,42971.0,Keto,2,2,1820.0,"Dinner, Weekend treat",2,1-2× month,Mocktails,500,"Fruity, Smoky",Vodka,Maybe,800-1 000,1,Yes,4,Cocktail upgrade
25-34,Hyderabad,26785.0,Omni,2,2,1419.0,Weekend treat,5,1-2× month,Cocktails,500,"Earthy, Fruity, Smoky","Gin, Vodka",Maybe,1 000-1 200,4,Yes,5,Free delivery
18-24,Mumbai,21806.0,Omni,0,4,1031.0,Dinner,2,1-2× month,Cocktails,700,"Fruity, Herbal",Vodka,Yes definitely,800-1 000,5,No,1,Nutrition consult
45-54,Bengaluru,20000.0,Vegetarian,0,1,1054.0,Lunch,4,1-2× month,Cocktails,400,Herbal,"Vodka, Whisky",Maybe,800-1 000,4,Yes,4,Points
18-24,Mumbai,20000.0,Vegetarian,4,2,1076.0,"Post-work drinks, Weekend treat",5,1-2× month,Cocktails,700,"Fruity, Smoky","Gin, Vodka, Whisky",Unlikely,>1 200,3,Maybe,2,Nutrition consult
25-34,Kolkata,32392.0,Omni,0,0,2909.0,"Lunch, Post-work drinks, Weekend treat",5,1× week,Mocktails,500,"Herbal, Spicy",Tequila,Unlikely,800-1 000,5,Yes,4,Nutrition consult
25-34,Mumbai,23587.0,Omni,6,2,1226.0,Weekend treat,3,2-3× week,Mocktails,500,"Citrus, Earthy, Smoky",Vodka,Yes definitely,1 000-1 200,4,Maybe,4,Points
25-34,Chennai,27983.0,Vegetarian,5,1,1272.0,Dinner,5,Never,Mocktails,600,Fruity,None,Yes definitely,<800,4,Maybe,2,Nutrition consult
35-44,Hyderabad,20000.0,Omni,0,4,1028.0,Post-work drinks,4,1-2× month,Mocktails,700,"Earthy, Spicy",Tequila,Yes definitely,1 000-1 200,4,Maybe,4,Points
35-44,Pune,20000.0,Vegetarian,3,1,1047.0,"Lunch, Post-work drinks",5,2-3× week,Equal,500,"Fruity, Herbal, Smoky","Gin, Vodka",Yes definitely,>1 200,5,Yes,5,Points
25-34,Mumbai,48487.0,Omni,1,1,2000.0,"Lunch, Weekend treat",4,2-3× week,Cocktails,500,Fruity,"Vodka, Whisky",Unlikely,1 000-1 200,3,Yes,3,Points
45-54,Delhi,74379.0,Omni,3,0,2000.0,Post-work drinks,5,Never,Mocktails,500,"Herbal, Spicy",None,Yes definitely,<800,5,Maybe,2,Free delivery
45-54,Mumbai,110576.0,Omni,4,2,2000.0,Post-work drinks,5,1-2× month,Cocktails,500,"Earthy, Fruity",Tequila,Yes definitely,800-1 000,5,No,2,Points
18-24,Mumbai,45009.0,Omni,0,1,2000.0,Weekend treat,5,Never,Mocktails,400,"Citrus, Smoky, Spicy",None,Yes definitely,1 000-1 200,3,Maybe,2,Nutrition consult
45-54,Kolkata,66537.0,Omni,1,4,2000.0,Weekend treat,1,Never,Mocktails,500,"Citrus, Spicy",None,Yes definitely,<800,3,Maybe,4,Points
25-34,Delhi,20000.0,Vegetarian,1,2,1061.0,"Lunch, Weekend treat",4,1-2× month,Equal,600,"Citrus, Earthy, Smoky",Vodka,Yes definitely,>1 200,4,No,1,Free delivery
25-34,Hyderabad,20000.0,Vegan,7,2,958.0,Dinner,4,1-2× month,Cocktails,600,Spicy,"Rum, Tequila",Yes definitely,1 000-1 200,3,Maybe,4,Free delivery
18-24,Pune,30971.0,Vegetarian,3,0,1537.0,"Dinner, Post-work drinks",5,1-2× month,Cocktails,500,"Smoky, Spicy",Tequila,Yes definitely,800-1 000,5,Yes,4,Free delivery
25-34,Chennai,36889.0,Omni,3,5,1500.0,Weekend treat,5,Never,Mocktails,400,"Citrus, Spicy",None,Yes definitely,800-1 000,4,Yes,4,Nutrition consult
18-24,Mumbai,26390.0,Vegetarian,2,1,1433.0,Lunch,5,2-3× week,Mocktails,500,"Fruity, Herbal","Gin, Whisky",Maybe,800-1 000,2,No,1,Free delivery
25-34,Kolkata,42158.0,Vegetarian,3,4,1948.0,"Dinner, Weekend treat",3,1-2× month,Cocktails,700,"Fruity, Smoky",Vodka,Never,<800,5,No,2,Free delivery
35-44,Delhi,26324.0,Vegan,5,1,1321.0,"Lunch, Weekend treat",5,Never,Mocktails,500,Earthy,None,Yes definitely,800-1 000,3,Yes,4,Free delivery
25-34,Bengaluru,20000.0,Vegetarian,5,2,1104.0,Weekend treat,4,Never,Mocktails,600,"Earthy, Fruity",None,Yes definitely,<800,5,Maybe,4,Points
35-44,Delhi,95263.0,Vegan,7,2,2000.0,"Lunch, Post-work drinks, Weekend treat",5,1-2× month,Equal,500,"Herbal, Smoky",Rum,Yes definitely,800-1 000,3,Yes,4,Cocktail upgrade
25-34,Delhi,20000.0,Keto,4,0,1068.0,"Dinner, Weekend treat",5,2-3× week,Equal,500,"Earthy, Herbal",Tequila,Maybe,800-1 000,5,Yes,5,Points
25-34,Mumbai,20000.0,Vegetarian,1,0,944.0,Post-work drinks,5,2-3× week,Equal,700,"Earthy, Fruity, Herbal",Whisky,Yes definitely,800-1 000,5,Maybe,4,Free delivery
25-34,Hyderabad,20000.0,Vegan,1,0,1016.0,Lunch,5,2-3× week,Equal,600,"Herbal, Smoky, Spicy","Gin, Tequila",Unlikely,1 000-1 200,2,Yes,4,Points
18-24,Mumbai,20238.0,Vegan,2,2,1032.0,Weekend treat,4,2-3× week,Cocktails,600,"Citrus, Smoky",Tequila,Maybe,800-1 000,5,Maybe,4,Nutrition consult
35-44,Hyderabad,46849.0,Vegetarian,0,4,2000.0,"Lunch, Post-work drinks, Weekend treat",5,Never,Mocktails,600,Citrus,None,Yes definitely,<800,4,Maybe,4,Points
18-24,Delhi,29885.0,Vegetarian,1,2,1400.0,Dinner,4,1× week,Cocktails,600,Spicy,"Rum, Whisky",Maybe,>1 200,4,Maybe,2,Nutrition consult
18-24,Delhi,22035.0,Vegetarian,1,2,1099.0,"Dinner, Lunch, Weekend treat",1,2-3× week,Avoid all,700,Smoky,Vodka,Unlikely,<800,5,Yes,3,Nutrition consult
35-44,Bengaluru,20000.0,Omni,4,3,780.0,"Dinner, Lunch, Weekend treat",4,Never,Mocktails,600,Earthy,None,Yes definitely,1 000-1 200,3,No,2,Points
35-44,Delhi,44083.0,Omni,0,0,1943.0,"Dinner, Weekend treat",5,1-2× month,Equal,500,Citrus,"Rum, Tequila",Never,800-1 000,5,Maybe,4,Points
18-24,Mumbai,29974.0,Vegetarian,2,0,1470.0,Dinner,2,1× week,Cocktails,500,Smoky,"Rum, Tequila",Maybe,<800,4,Yes,5,Free delivery
18-24,Delhi,104794.0,Omni,3,4,2000.0,"Lunch, Weekend treat",5,Never,Mocktails,500,"Earthy, Herbal",None,Yes definitely,<800,3,No,2,Nutrition consult
25-34,Mumbai,30170.0,Omni,1,0,1203.0,Post-work drinks,2,1-2× month,Cocktails,500,"Earthy, Smoky",Tequila,Unlikely,1 000-1 200,3,Yes,3,Free delivery
45-54,Mumbai,72881.0,Vegan,3,3,2000.0,"Post-work drinks, Weekend treat",4,2-3× week,Cocktails,600,"Citrus, Fruity, Herbal, Smoky",Tequila,Maybe,1 000-1 200,4,Maybe,3,Free delivery
25-34,Mumbai,22557.0,Other,1,0,1145.0,"Lunch, Weekend treat",5,1× week,Mocktails,500,"Citrus, Smoky",Vodka,Unlikely,800-1 000,5,No,2,Free delivery
18-24,Delhi,49024.0,Vegetarian,4,1,2000.0,"Dinner, Weekend treat",5,1-2× month,Avoid all,400,"Earthy, Spicy",Whisky,Unlikely,1 000-1 200,4,No,2,Points
25-34,Hyderabad,242411.0,Vegetarian,0,3,2000.0,Weekend treat,5,Never,Mocktails,500,"Citrus, Smoky",None,Yes definitely,>1 200,3,No,2,Points
25-34,Delhi,20000.0,Omni,7,1,1032.0,Post-work drinks,5,1-2× month,Equal,400,"Citrus, Earthy",Vodka,Never,1 000-1 200,3,Yes,3,Cocktail upgrade
25-34,Mumbai,61416.0,Omni,0,0,2000.0,Dinner,5,1× week,Mocktails,600,Earthy,Rum,Unlikely,1 000-1 200,5,Yes,3,Points
45-54,Mumbai,25034.0,Keto,1,2,1098.0,Weekend treat,1,Never,Mocktails,700,"Herbal, Spicy",None,Yes definitely,>1 200,1,No,1,Points
25-34,Hyderabad,49489.0,Omni,3,5,2000.0,"Dinner, Weekend treat",2,1× week,Cocktails,600,"Citrus, Spicy","Rum, Vodka",Yes definitely,1 000-1 200,5,No,2,Cocktail upgrade
25-34,Mumbai,29991.0,Vegetarian,0,2,1445.0,Weekend treat,4,1× week,Cocktails,600,"Citrus, Earthy, Fruity",Whisky,Never,<800,5,Yes,5,Nutrition consult
45-54,Delhi,51752.0,Vegan,4,3,2000.0,Dinner,5,2-3× week,Cocktails,500,"Earthy, Herbal, Spicy","Gin, Whisky",Yes definitely,800-1 000,4,Yes,4,Free delivery
25-34,Mumbai,29535.0,Vegetarian,3,2,1311.0,Post-work drinks,4,2-3× week,Mocktails,500,"Herbal, Spicy",Whisky,Yes definitely,800-1 000,4,Yes,4,Nutrition consult
35-44,Chennai,40840.0,Omni,6,0,1862.0,"Dinner, Lunch, Weekend treat",5,1-2× month,Cocktails,500,"Fruity, Spicy","Vodka, Whisky",Maybe,800-1 000,3,Maybe,3,Nutrition consult
25-34,Delhi,24988.0,Vegetarian,0,2,1184.0,"Dinner, Lunch, Weekend treat",5,Never,Mocktails,500,"Citrus, Earthy, Fruity",None,Yes definitely,800-1 000,5,Yes,5,Points
45-54,Hyderabad,27636.0,Omni,0,2,1309.0,Dinner,4,2-3× week,Equal,500,"Earthy, Fruity",Gin,Yes definitely,1 000-1 200,3,Maybe,3,Points
25-34,Hyderabad,35897.0,Vegan,0,0,1562.0,"Lunch, Weekend treat",1,1× week,Mocktails,500,Spicy,Rum,Yes definitely,800-1 000,4,Yes,5,Points
